epoch,auth_tran_loss,auth_tran_acc,auth_tran_auc,auth_val_loss,auth_val_acc,auth_val_auc,feat_tran_loss,feat_tran_acc,feat_tran_auc,feat_val_loss,feat_val_acc,feat_val_auc,learning_rate,batchsize,dropout,best
24,0.2666,0.9172,0.9983,27.9326,0.0364,0.4909,0.2177,0.9122,0.9728,0.9782,0.7208,0.7502,1E-06,,,
25,0.2588,0.9224,0.9984,17.7980,0.0461,0.4981,0.2170,0.9121,0.9730,0.7582,0.7405,0.7829,,,,
26,0.2643,0.9119,0.9983,11.0282,0.0825,0.5504,0.2181,0.9126,0.9727,0.5981,0.7649,0.8240,,,,
27,0.2565,0.9224,0.9984,6.5900,0.1942,0.6497,0.2184,0.9114,0.9725,0.4766,0.7958,0.8660,,,,
28,0.2531,0.9172,0.9985,3.9253,0.3374,0.7906,0.2173,0.9126,0.9730,0.3818,0.8270,0.9044,,,,
29,0.2553,0.9245,0.9985,2.3342,0.4927,0.8995,0.2176,0.9128,0.9729,0.3082,0.8594,0.9354,,,,
30,0.2542,0.9193,0.9984,1.4113,0.5947,0.9547,0.2174,0.9122,0.9729,0.2585,0.8841,0.9559,,,,
31,0.2623,0.9203,0.9983,0.8968,0.7039,0.9744,0.2177,0.9119,0.9728,0.2281,0.9026,0.9679,,,,
32,0.2594,0.9182,0.9984,0.6433,0.7888,0.9829,0.2183,0.9114,0.9726,0.2112,0.9136,0.9743,,,,
33,0.2605,0.9203,0.9984,0.5187,0.8107,0.9905,0.2183,0.9120,0.9725,0.2022,0.9203,0.9775,,,,
34,0.2663,0.9140,0.9983,0.4520,0.8350,0.9938,0.2176,0.9117,0.9729,0.1974,0.9240,0.9792,,,,
35,0.2612,0.9203,0.9984,0.4164,0.8422,0.9966,0.2182,0.9124,0.9727,0.1950,0.9250,0.9801,,,,
36,0.2604,0.9245,0.9984,0.3978,0.8495,0.9969,0.2171,0.9130,0.9731,0.1940,0.9260,0.9804,,,,
37,0.2562,0.9203,0.9984,0.3891,0.8568,0.9970,0.2173,0.9133,0.9729,0.1936,0.9262,0.9806,,,,best
38,0.2716,0.9161,0.9982,0.3856,0.8544,0.9971,0.2175,0.9132,0.9729,0.1936,0.9260,0.9806,,,,
39,0.2600,0.9266,0.9984,0.3850,0.8519,0.9971,0.2174,0.9129,0.9730,0.1938,0.9254,0.9805,,,,
40,0.2664,0.9119,0.9983,0.3851,0.8447,0.9971,0.2169,0.9131,0.9731,0.1939,0.9254,0.9805,,,,
41,0.2613,0.9172,0.9984,0.3855,0.8471,0.9971,0.2170,0.9129,0.9730,0.1940,0.9256,0.9804,,,,
42,0.2557,0.9214,0.9984,0.3865,0.8495,0.9971,0.2174,0.9121,0.9729,0.1941,0.9254,0.9804,,,,
43,0.2589,0.9130,0.9984,0.3869,0.8495,0.9971,0.2175,0.9120,0.9728,0.1942,0.9254,0.9804,,,,
44,0.2544,0.9203,0.9984,0.3873,0.8495,0.9971,0.2180,0.9118,0.9727,0.1943,0.9251,0.9803,,,,
45,0.2647,0.9172,0.9983,0.3875,0.8471,0.9971,0.2175,0.9130,0.9729,0.1943,0.9252,0.9803,1E-07,,,
46,0.2559,0.9256,0.9985,0.3877,0.8471,0.9971,0.2173,0.9120,0.9729,0.1944,0.9252,0.9803,,,,
47,0.2498,0.9245,0.9985,0.3883,0.8447,0.9971,0.2178,0.9114,0.9728,0.1944,0.9252,0.9803,,,,
48,0.2538,0.9277,0.9985,0.3887,0.8422,0.9971,0.2192,0.9115,0.9723,0.1945,0.9251,0.9802,,,,
49,0.2610,0.9224,0.9984,0.3888,0.8422,0.9971,0.2172,0.9133,0.9730,0.1945,0.9252,0.9802,,,,
50,0.2569,0.9256,0.9984,0.3884,0.8422,0.9971,0.2179,0.9123,0.9727,0.1945,0.9252,0.9803,1E-08,,,
51,0.2532,0.9203,0.9984,0.3886,0.8447,0.9971,0.2163,0.9128,0.9731,0.1945,0.9252,0.9802,,,,
52,0.2526,0.9245,0.9985,0.3891,0.8422,0.9971,0.2171,0.9120,0.9730,0.1946,0.9251,0.9802,,,,
53,0.2590,0.9256,0.9983,0.3895,0.8422,0.9971,0.2175,0.9122,0.9729,0.1946,0.9251,0.9802,,,,
54,0.2510,0.9277,0.9985,0.3894,0.8422,0.9971,0.2172,0.9120,0.9730,0.1946,0.9252,0.9802,,,,
55,0.2483,0.9214,0.9985,0.3889,0.8422,0.9971,0.2177,0.9126,0.9729,0.1946,0.9252,0.9802,1E-09,,,
56,0.2526,0.9161,0.9985,0.3888,0.8398,0.9971,0.2175,0.9129,0.9729,0.1946,0.9252,0.9802,,,,
57,0.2537,0.9308,0.9985,0.3886,0.8447,0.9971,0.2169,0.9123,0.9730,0.1946,0.9252,0.9802,,,,
58,0.2532,0.9277,0.9985,0.3893,0.8471,0.9971,0.2180,0.9118,0.9727,0.1945,0.9251,0.9802,,,,
59,0.2584,0.9151,0.9984,0.3884,0.8447,0.9971,0.2171,0.9128,0.9731,0.1945,0.9252,0.9803,,,,
60,0.2564,0.9277,0.9984,0.3886,0.8471,0.9971,0.2163,0.9126,0.9732,0.1945,0.9251,0.9803,1E-10,,,
61,0.2578,0.9203,0.9984,0.3883,0.8471,0.9971,0.2176,0.9120,0.9729,0.1945,0.9253,0.9803,,,,
62,0.2545,0.9245,0.9984,0.3883,0.8447,0.9971,0.2178,0.9124,0.9727,0.1945,0.9252,0.9803,,,,
63,0.2625,0.9245,0.9983,0.3884,0.8422,0.9971,0.2171,0.9120,0.9729,0.1945,0.9251,0.9802,,,,
64,0.2550,0.9182,0.9985,0.3886,0.8447,0.9971,0.2176,0.9123,0.9729,0.1946,0.9251,0.9802,,,,
65,0.2638,0.9140,0.9983,0.3897,0.8422,0.9971,0.2169,0.9129,0.9731,0.1946,0.9251,0.9802,1E-11,,,
66,0.2569,0.9214,0.9984,0.3898,0.8422,0.9971,0.2178,0.9121,0.9728,0.1946,0.9251,0.9802,,,,
67,0.2542,0.9224,0.9984,0.3899,0.8422,0.9971,0.2176,0.9130,0.9728,0.1946,0.9252,0.9802,,,,
68,0.2602,0.9161,0.9983,0.3902,0.8422,0.9971,0.2177,0.9126,0.9728,0.1947,0.9250,0.9802,,,,
69,0.2624,0.9256,0.9983,0.3895,0.8422,0.9971,0.2174,0.9123,0.9728,0.1946,0.9251,0.9802,,,,
70,0.2604,0.9245,0.9984,0.3894,0.8422,0.9971,0.2180,0.9115,0.9727,0.1946,0.9250,0.9802,1E-12,,,
71,0.2668,0.9119,0.9983,0.3892,0.8422,0.9971,0.2185,0.9118,0.9725,0.1946,0.9251,0.9802,,,,
72,0.2591,0.9224,0.9979,0.3890,0.8422,0.9971,0.2179,0.9123,0.9728,0.1945,0.9250,0.9802,,,,
73,0.2523,0.9224,0.9985,0.3894,0.8422,0.9971,0.2186,0.9120,0.9724,0.1946,0.9251,0.9802,,,,
74,0.2607,0.9203,0.9984,0.3895,0.8422,0.9971,0.2181,0.9121,0.9727,0.1946,0.9251,0.9802,,,,
75,0.2598,0.9203,0.9984,0.3902,0.8422,0.9971,0.2173,0.9125,0.9729,0.1946,0.9250,0.9802,1E-13,,,
76,0.2527,0.9235,0.9985,0.3905,0.8422,0.9971,0.2166,0.9131,0.9732,0.1946,0.9250,0.9802,,,,
77,0.2563,0.9235,0.9984,0.3910,0.8447,0.9970,0.2173,0.9126,0.9730,0.1946,0.9250,0.9802,,,,
78,0.2559,0.9256,0.9984,0.3902,0.8398,0.9970,0.2173,0.9132,0.9731,0.1946,0.9250,0.9802,,,,
79,0.2526,0.9245,0.9985,0.3900,0.8447,0.9971,0.2176,0.9121,0.9729,0.1946,0.9250,0.9802,,,,
80,0.2549,0.9256,0.9985,0.3896,0.8447,0.9971,0.2181,0.9117,0.9727,0.1946,0.9252,0.9802,1E-14,,,
81,0.2571,0.9256,0.9985,0.3897,0.8422,0.9971,0.2184,0.9126,0.9725,0.1946,0.9251,0.9802,,,,
82,0.2594,0.9140,0.9984,0.3893,0.8447,0.9971,0.2174,0.9122,0.9729,0.1946,0.9251,0.9802,,,,
83,0.2544,0.9235,0.9984,0.3889,0.8471,0.9971,0.2178,0.9116,0.9728,0.1945,0.9250,0.9802,,,,
84,0.2520,0.9245,0.9985,0.3887,0.8422,0.9971,0.2178,0.9119,0.9728,0.1945,0.9250,0.9802,,,,
85,0.2566,0.9256,0.9984,0.3887,0.8422,0.9971,0.2176,0.9131,0.9730,0.1945,0.9252,0.9802,1E-15,,,
86,0.2614,0.9203,0.9984,0.3893,0.8422,0.9971,0.2175,0.9127,0.9729,0.1946,0.9252,0.9802,,,,
87,0.2499,0.9298,0.9985,0.3891,0.8422,0.9971,0.2169,0.9123,0.9730,0.1945,0.9252,0.9802,,,,
88,0.2600,0.9287,0.9984,0.3890,0.8422,0.9971,0.2173,0.9120,0.9729,0.1945,0.9251,0.9802,,,,
89,0.2476,0.9245,0.9985,0.3889,0.8422,0.9971,0.2177,0.9123,0.9728,0.1945,0.9252,0.9802,,,,
90,0.2598,0.9203,0.9983,0.3894,0.8422,0.9971,0.2176,0.9121,0.9728,0.1945,0.9252,0.9802,1E-16,,,
