epoch,auth_tran_loss,auth_tran_acc,auth_tran_auc,auth_val_loss,auth_val_acc,auth_val_auc,feat_tran_loss,feat_tran_acc,feat_tran_auc,feat_val_loss,feat_val_acc,feat_val_auc,learning_rate,batchsize,dropout,best
1,4.3445,0.1719,0.7505,3824.2563,0.0243,0.4934,0.7604,0.5536,0.5771,133.0206,0.5384,0.5297,0.001,32,0.1,
2,2.5918,0.2547,0.8683,195.3913,0.0388,0.5009,0.6741,0.6249,0.6654,8.4489,0.6208,0.5760,,,,
3,2.0318,0.3721,0.9110,23.1028,0.0218,0.4921,0.6051,0.7072,0.7520,0.9198,0.6060,0.5903,,,,
4,1.8997,0.4340,0.9234,38.0646,0.0218,0.4921,0.5303,0.7720,0.8220,0.9211,0.6567,0.6749,,,,
5,1.7721,0.4790,0.9320,103.0406,0.0218,0.4921,0.4596,0.8102,0.8677,2.5753,0.6081,0.6409,,,,
6,1.6142,0.5252,0.9438,140.5711,0.0218,0.4921,0.3928,0.8381,0.9032,3.3895,0.6426,0.6746,,,,
7,1.6440,0.5356,0.9378,226.6940,0.0218,0.4921,0.3530,0.8479,0.9187,5.1281,0.6376,0.6534,,,,
8,1.2526,0.6279,0.9568,200.6626,0.0218,0.4921,0.3177,0.8606,0.9329,7.0051,0.7157,0.6924,,,,
9,0.8028,0.7390,0.9802,137.7057,0.0340,0.5001,0.2655,0.8844,0.9547,3.7314,0.6885,0.6932,,,,
10,0.5153,0.8176,0.9919,116.6279,0.0218,0.4968,0.2459,0.8950,0.9629,3.3861,0.6797,0.6948,,,,
11,0.4210,0.8564,0.9961,96.7067,0.0413,0.4883,0.2395,0.8987,0.9654,2.7544,0.6836,0.6918,,,,
12,0.3797,0.8784,0.9954,97.5310,0.0218,0.4944,0.2345,0.9024,0.9667,2.7663,0.6783,0.6826,,,,
13,0.3444,0.8753,0.9968,90.0779,0.0316,0.5010,0.2300,0.9051,0.9686,2.4916,0.6899,0.6935,,,,
14,0.2949,0.9088,0.9979,94.5039,0.0218,0.4968,0.2216,0.9101,0.9714,2.5482,0.6871,0.6834,0.0001,,,
15,0.2788,0.9161,0.9982,96.0889,0.0218,0.4956,0.2204,0.9111,0.9720,2.5617,0.6858,0.6777,,,,
16,0.2732,0.9172,0.9983,96.4897,0.0218,0.4956,0.2211,0.9095,0.9716,2.5628,0.6871,0.6786,,,,
17,0.2665,0.9235,0.9983,95.2409,0.0218,0.4968,0.2183,0.9125,0.9728,2.5275,0.6837,0.6784,,,,
18,0.2663,0.9057,0.9983,93.7671,0.0218,0.4933,0.2195,0.9114,0.9722,2.4608,0.6839,0.6818,,,,
19,0.2583,0.9245,0.9984,89.1885,0.0218,0.4932,0.2178,0.9122,0.9728,2.3426,0.6859,0.6847,1E-05,,,
20,0.2553,0.9161,0.9984,81.0084,0.0218,0.4927,0.2185,0.9115,0.9726,2.1490,0.6890,0.6873,,,,
21,0.2609,0.9235,0.9984,68.9222,0.0218,0.4949,0.2176,0.9127,0.9730,1.8766,0.6969,0.6922,,,,
22,0.2633,0.9182,0.9983,54.9366,0.0243,0.4950,0.2177,0.9127,0.9728,1.5679,0.7051,0.7038,,,,
23,0.2531,0.9203,0.9985,40.4001,0.0316,0.4913,0.2174,0.9119,0.9730,1.2509,0.7136,0.7244,,,,
