epoch,auth_tran_loss,auth_tran_acc,auth_tran_auc,auth_val_loss,auth_val_acc,auth_val_auc,feat_tran_loss,feat_tran_acc,feat_tran_auc,feat_val_loss,feat_val_acc,feat_val_auc,learning_rate,batchsize,dropout,best
14,0.3575,0.8889,0.9947,137.1508,0.0194,0.4909,0.1736,0.9262,0.9810,3.5317,0.7011,0.7361,,,,
15,0.2596,0.9277,0.9972,122.1515,0.0194,0.4909,0.1634,0.9312,0.9840,3.2309,0.7123,0.7350,,,,
16,0.2165,0.9371,0.9986,115.1721,0.0194,0.4909,0.1571,0.9350,0.9855,3.2221,0.7174,0.7190,,,,
17,0.1873,0.9497,0.9994,108.3978,0.0194,0.4909,0.1523,0.9379,0.9866,3.1075,0.7178,0.7286,,,,
18,0.1500,0.9612,0.9997,103.2209,0.0194,0.4909,0.1476,0.9401,0.9877,2.9612,0.7184,0.7317,1E-05,,,
19,0.1472,0.9623,0.9997,95.9523,0.0194,0.4909,0.1470,0.9407,0.9879,2.7609,0.7186,0.7362,,,,
20,0.1442,0.9686,0.9998,86.0550,0.0194,0.4909,0.1464,0.9412,0.9880,2.4855,0.7223,0.7415,,,,
21,0.1425,0.9686,0.9998,73.1153,0.0194,0.4909,0.1458,0.9414,0.9881,2.1328,0.7279,0.7503,,,,
22,0.1407,0.9686,0.9998,57.8611,0.0194,0.4901,0.1452,0.9417,0.9883,1.7321,0.7353,0.7629,,,,
23,0.1363,0.9717,0.9998,40.2075,0.0243,0.4922,0.1448,0.9420,0.9883,1.3045,0.7493,0.7833,1E-06,,,
24,0.1360,0.9717,0.9998,24.4246,0.0388,0.4892,0.1448,0.9420,0.9884,0.9397,0.7620,0.8171,,,,
25,0.1358,0.9717,0.9998,13.5078,0.0607,0.5213,0.1447,0.9420,0.9884,0.6788,0.7801,0.8516,,,,
26,0.1355,0.9717,0.9998,7.2948,0.1845,0.6514,0.1447,0.9420,0.9884,0.5050,0.8064,0.8868,,,,
27,0.1352,0.9717,0.9998,4.0395,0.3835,0.7805,0.1446,0.9421,0.9884,0.3839,0.8369,0.9188,,,,
28,0.1350,0.9727,0.9998,2.3717,0.5316,0.8877,0.1445,0.9421,0.9884,0.2949,0.8657,0.9448,,,,
29,0.1348,0.9727,0.9998,1.4151,0.6650,0.9415,0.1445,0.9422,0.9884,0.2341,0.8938,0.9631,,,,
30,0.1344,0.9727,0.9998,0.9396,0.7379,0.9682,0.1444,0.9422,0.9884,0.1979,0.9122,0.9737,,,,
31,0.1342,0.9727,0.9998,0.7056,0.7694,0.9793,0.1444,0.9422,0.9884,0.1779,0.9234,0.9793,,,,
32,0.1340,0.9727,0.9998,0.5874,0.8107,0.9855,0.1443,0.9423,0.9885,0.1673,0.9294,0.9820,,,,
33,0.1336,0.9727,0.9998,0.5218,0.8277,0.9908,0.1442,0.9423,0.9885,0.1614,0.9322,0.9834,,,,
34,0.1333,0.9727,0.9998,0.4833,0.8252,0.9924,0.1442,0.9423,0.9885,0.1581,0.9340,0.9842,,,,
35,0.1330,0.9727,0.9998,0.4632,0.8228,0.9949,0.1441,0.9423,0.9885,0.1563,0.9340,0.9846,,,,
36,0.1327,0.9727,0.9998,0.4507,0.8301,0.9963,0.1440,0.9424,0.9885,0.1553,0.9343,0.9849,,,,
37,0.1324,0.9738,0.9998,0.4439,0.8204,0.9963,0.1439,0.9424,0.9885,0.1547,0.9352,0.9850,,,,
38,0.1321,0.9738,0.9998,0.4391,0.8277,0.9964,0.1439,0.9425,0.9885,0.1544,0.9354,0.9850,,,,
39,0.1317,0.9738,0.9998,0.4366,0.8277,0.9964,0.1438,0.9425,0.9886,0.1542,0.9351,0.9851,,,,
40,0.1314,0.9738,0.9998,0.4347,0.8301,0.9964,0.1437,0.9425,0.9886,0.1541,0.9351,0.9851,,,,
41,0.1310,0.9738,0.9999,0.4333,0.8301,0.9965,0.1436,0.9425,0.9886,0.1540,0.9352,0.9851,,,,
42,0.1308,0.9738,0.9999,0.4315,0.8277,0.9965,0.1436,0.9426,0.9886,0.1539,0.9350,0.9851,,,,
43,0.1304,0.9738,0.9999,0.4315,0.8252,0.9965,0.1435,0.9425,0.9886,0.1538,0.9349,0.9851,,,,
44,0.1301,0.9738,0.9999,0.4300,0.8252,0.9965,0.1434,0.9426,0.9886,0.1538,0.9350,0.9852,,,,
45,0.1297,0.9738,0.9999,0.4291,0.8325,0.9965,0.1433,0.9427,0.9887,0.1537,0.9350,0.9852,,,,
46,0.1295,0.9738,0.9999,0.4304,0.8374,0.9965,0.1432,0.9427,0.9887,0.1537,0.9349,0.9852,,,,
47,0.1290,0.9738,0.9999,0.4304,0.8374,0.9965,0.1431,0.9427,0.9887,0.1537,0.9350,0.9852,,,,
48,0.1286,0.9738,0.9999,0.4300,0.8350,0.9965,0.1431,0.9427,0.9887,0.1536,0.9350,0.9852,,,,
49,0.1282,0.9738,0.9999,0.4292,0.8350,0.9965,0.1430,0.9428,0.9887,0.1536,0.9350,0.9852,,,,
50,0.1279,0.9738,0.9999,0.4294,0.8350,0.9965,0.1429,0.9428,0.9887,0.1535,0.9352,0.9852,,,,
51,0.1274,0.9738,0.9999,0.4285,0.8374,0.9965,0.1428,0.9429,0.9888,0.1535,0.9351,0.9852,1E-07,,,
52,0.1273,0.9738,0.9999,0.4278,0.8374,0.9965,0.1428,0.9429,0.9888,0.1535,0.9349,0.9852,,,,
53,0.1273,0.9738,0.9999,0.4267,0.8374,0.9965,0.1428,0.9429,0.9888,0.1535,0.9350,0.9852,,,,
54,0.1273,0.9738,0.9999,0.4269,0.8374,0.9965,0.1428,0.9429,0.9888,0.1535,0.9349,0.9852,,,,
55,0.1272,0.9738,0.9999,0.4276,0.8374,0.9965,0.1428,0.9429,0.9888,0.1535,0.9349,0.9852,,,,
56,0.1272,0.9738,0.9999,0.4268,0.8374,0.9965,0.1428,0.9429,0.9888,0.1534,0.9351,0.9852,,,,
57,0.1271,0.9738,0.9999,0.4265,0.8374,0.9965,0.1428,0.9429,0.9888,0.1534,0.9352,0.9852,,,,
58,0.1271,0.9738,0.9999,0.4265,0.8374,0.9965,0.1428,0.9429,0.9888,0.1534,0.9351,0.9852,,,,
59,0.1271,0.9738,0.9999,0.4267,0.8374,0.9965,0.1427,0.9429,0.9888,0.1534,0.9352,0.9852,,,,
60,0.1270,0.9738,0.9999,0.4264,0.8374,0.9965,0.1427,0.9429,0.9888,0.1534,0.9351,0.9852,,,,
61,0.1270,0.9738,0.9999,0.4265,0.8374,0.9965,0.1427,0.9430,0.9888,0.1534,0.9352,0.9852,,,,
62,0.1269,0.9738,0.9999,0.4262,0.8374,0.9965,0.1427,0.9430,0.9888,0.1534,0.9352,0.9852,,,,
63,0.1269,0.9738,0.9999,0.4262,0.8374,0.9965,0.1427,0.9430,0.9888,0.1534,0.9352,0.9852,,,,
64,0.1268,0.9738,0.9999,0.4268,0.8374,0.9965,0.1427,0.9430,0.9888,0.1534,0.9352,0.9852,,,,
65,0.1268,0.9738,0.9999,0.4266,0.8374,0.9965,0.1427,0.9430,0.9888,0.1534,0.9352,0.9852,,,,
66,0.1267,0.9738,0.9999,0.4261,0.8374,0.9965,0.1427,0.9430,0.9888,0.1534,0.9353,0.9852,,,,
67,0.1267,0.9738,0.9999,0.4259,0.8374,0.9965,0.1427,0.9430,0.9888,0.1534,0.9352,0.9852,,,,
68,0.1266,0.9738,0.9999,0.4265,0.8398,0.9965,0.1426,0.9431,0.9888,0.1534,0.9353,0.9852,,,,best
69,0.1266,0.9738,0.9999,0.4255,0.8374,0.9965,0.1426,0.9430,0.9888,0.1534,0.9353,0.9852,,,,
70,0.1265,0.9738,0.9999,0.4260,0.8374,0.9965,0.1426,0.9431,0.9888,0.1533,0.9352,0.9852,,,,
71,0.1265,0.9738,0.9999,0.4267,0.8374,0.9965,0.1426,0.9431,0.9888,0.1533,0.9351,0.9852,,,,
72,0.1264,0.9738,0.9999,0.4267,0.8374,0.9965,0.1426,0.9431,0.9888,0.1533,0.9351,0.9852,,,,
73,0.1264,0.9738,0.9999,0.4265,0.8374,0.9965,0.1426,0.9431,0.9888,0.1533,0.9352,0.9852,,,,
74,0.1263,0.9738,0.9999,0.4268,0.8374,0.9965,0.1426,0.9431,0.9888,0.1533,0.9352,0.9852,,,,
75,0.1263,0.9738,0.9999,0.4271,0.8398,0.9965,0.1426,0.9431,0.9888,0.1533,0.9351,0.9852,1E-08,,,
76,0.1263,0.9738,0.9999,0.4272,0.8398,0.9965,0.1426,0.9431,0.9888,0.1534,0.9353,0.9852,,,,
77,0.1263,0.9738,0.9999,0.4271,0.8398,0.9965,0.1426,0.9431,0.9888,0.1534,0.9353,0.9852,,,,
78,0.1263,0.9738,0.9999,0.4273,0.8398,0.9965,0.1426,0.9431,0.9888,0.1534,0.9352,0.9852,,,,
79,0.1263,0.9738,0.9999,0.4274,0.8398,0.9965,0.1426,0.9431,0.9888,0.1534,0.9351,0.9852,,,,
80,0.1262,0.9738,0.9999,0.4271,0.8398,0.9965,0.1426,0.9431,0.9888,0.1534,0.9353,0.9852,1E-09,,,
81,0.1262,0.9738,0.9999,0.4266,0.8398,0.9965,0.1426,0.9431,0.9888,0.1533,0.9353,0.9852,,,,
82,0.1262,0.9738,0.9999,0.4266,0.8398,0.9965,0.1426,0.9431,0.9888,0.1533,0.9352,0.9852,,,,
83,0.1262,0.9738,0.9999,0.4265,0.8398,0.9965,0.1426,0.9431,0.9888,0.1533,0.9354,0.9852,,,,
84,0.1262,0.9738,0.9999,0.4269,0.8374,0.9965,0.1426,0.9431,0.9888,0.1533,0.9353,0.9852,,,,
85,0.1262,0.9738,0.9999,0.4270,0.8374,0.9965,0.1426,0.9431,0.9888,0.1533,0.9353,0.9852,1E-10,,,
86,0.1262,0.9738,0.9999,0.4264,0.8374,0.9965,0.1426,0.9431,0.9888,0.1533,0.9353,0.9852,,,,
87,0.1262,0.9738,0.9999,0.4265,0.8374,0.9965,0.1426,0.9431,0.9888,0.1533,0.9352,0.9852,,,,
88,0.1262,0.9738,0.9999,0.4262,0.8374,0.9965,0.1426,0.9431,0.9888,0.1533,0.9354,0.9852,,,,
89,0.1262,0.9738,0.9999,0.4262,0.8374,0.9965,0.1426,0.9431,0.9888,0.1533,0.9354,0.9852,,,,
90,0.1262,0.9738,0.9999,0.4255,0.8374,0.9965,0.1426,0.9431,0.9888,0.1533,0.9352,0.9852,1E-11,,,
