epoch,auth_tran_loss,auth_tran_acc,auth_tran_auc,auth_val_loss,auth_val_acc,auth_val_auc,feat_tran_loss,feat_tran_acc,feat_tran_auc,feat_val_loss,feat_val_acc,feat_val_auc,learning_rate,batchsize,dropout,best
1,4.7123,0.1887,0.7321,1198.2626,0.0243,0.4934,0.9042,0.5420,0.5659,24.1935,0.4665,0.5015,0.001,32,0,
2,2.5798,0.2568,0.8638,245.6063,0.0243,0.4934,0.8524,0.5882,0.6227,7.8238,0.5692,0.5491,,,,
3,2.1661,0.3606,0.9052,58.3532,0.0243,0.4934,0.7026,0.6651,0.7165,2.4770,0.5965,0.6027,,,,
4,1.8220,0.4214,0.9310,39.2983,0.0243,0.4845,0.5764,0.7383,0.7914,2.2577,0.5802,0.6038,,,,
5,1.7255,0.4633,0.9324,38.6827,0.0218,0.4921,0.4780,0.7948,0.8548,1.7489,0.6458,0.6613,,,,
6,1.7908,0.4969,0.9305,55.1346,0.0243,0.4934,0.4075,0.8276,0.8927,2.8291,0.6790,0.6847,,,,
7,1.5100,0.5294,0.9508,34.2742,0.0437,0.4824,0.3986,0.8400,0.9048,1.1430,0.7248,0.7371,,,,
8,1.2577,0.6143,0.9644,46.4806,0.0218,0.4890,0.3194,0.8650,0.9344,1.2543,0.7050,0.7472,,,,
9,1.6993,0.5818,0.9459,101.1068,0.0218,0.4921,0.3502,0.8575,0.9274,3.3672,0.7241,0.7131,,,,
10,1.0500,0.6625,0.9712,173.1234,0.0218,0.4921,0.2981,0.8754,0.9434,4.3035,0.7001,0.7182,,,,
11,1.1109,0.6751,0.9658,128.2397,0.0218,0.4921,0.2729,0.8859,0.9527,3.4997,0.7148,0.7300,,,,
12,1.3124,0.6447,0.9538,155.2248,0.0364,0.4909,0.2856,0.8819,0.9493,5.3208,0.6993,0.6872,,,,
13,0.7712,0.7725,0.9802,152.7012,0.0291,0.4883,0.2218,0.9064,0.9674,4.5032,0.7097,0.7161,0.0001,,,
