epoch,auth_tran_loss,auth_tran_acc,auth_tran_auc,auth_val_loss,auth_val_acc,auth_val_auc,feat_tran_loss,feat_tran_acc,feat_tran_auc,feat_val_loss,feat_val_acc,feat_val_auc,learning_rate,batchsize,dropout,best
47,0.0514,0.9937,1.0000,0.3439,0.8932,0.9945,0.1573,0.9451,0.9886,0.1501,0.9474,0.9889,1E-06,,,
48,0.0535,0.9927,1.0000,0.3415,0.8908,0.9945,0.1578,0.9447,0.9885,0.1500,0.9474,0.9889,,,,
49,0.0528,0.9937,1.0000,0.3411,0.8883,0.9946,0.1569,0.9448,0.9887,0.1500,0.9474,0.9889,,,,
50,0.0525,0.9969,1.0000,0.3404,0.8908,0.9957,0.1574,0.9448,0.9885,0.1500,0.9476,0.9889,,,,
51,0.0520,0.9958,1.0000,0.3409,0.8932,0.9957,0.1575,0.9446,0.9886,0.1500,0.9477,0.9889,,,,
52,0.0519,0.9937,1.0000,0.3411,0.8932,0.9969,0.1579,0.9443,0.9884,0.1501,0.9478,0.9889,1E-07,,,
53,0.0536,0.9927,1.0000,0.3416,0.8932,0.9969,0.1570,0.9447,0.9887,0.1502,0.9478,0.9888,,,,
54,0.0512,0.9937,1.0000,0.3418,0.8932,0.9969,0.1573,0.9449,0.9886,0.1502,0.9477,0.9888,,,,
55,0.0503,0.9948,1.0000,0.3430,0.8956,0.9969,0.1571,0.9448,0.9886,0.1503,0.9477,0.9888,,,,best
56,0.0509,0.9916,1.0000,0.3434,0.8932,0.9969,0.1575,0.9444,0.9884,0.1503,0.9478,0.9888,,,,
57,0.0545,0.9916,1.0000,0.3435,0.8932,0.9969,0.1571,0.9446,0.9886,0.1503,0.9478,0.9888,1E-08,,,
58,0.0524,0.9937,1.0000,0.3437,0.8908,0.9969,0.1574,0.9449,0.9885,0.1504,0.9477,0.9888,,,,
59,0.0529,0.9969,1.0000,0.3435,0.8908,0.9969,0.1571,0.9446,0.9886,0.1504,0.9476,0.9888,,,,
60,0.0550,0.9916,1.0000,0.3440,0.8932,0.9957,0.1575,0.9450,0.9886,0.1505,0.9476,0.9887,,,,
61,0.0508,0.9948,1.0000,0.3436,0.8932,0.9969,0.1560,0.9458,0.9889,0.1505,0.9476,0.9887,,,,
62,0.0517,0.9937,1.0000,0.3440,0.8932,0.9969,0.1572,0.9447,0.9886,0.1505,0.9475,0.9887,1E-09,,,
63,0.0510,0.9958,1.0000,0.3439,0.8932,0.9957,0.1576,0.9453,0.9886,0.1505,0.9475,0.9887,,,,
64,0.0522,0.9948,1.0000,0.3442,0.8932,0.9957,0.1564,0.9459,0.9888,0.1505,0.9475,0.9887,,,,
65,0.0516,0.9948,1.0000,0.3444,0.8932,0.9957,0.1570,0.9447,0.9887,0.1506,0.9474,0.9887,,,,
66,0.0519,0.9927,1.0000,0.3445,0.8932,0.9957,0.1572,0.9446,0.9887,0.1506,0.9475,0.9887,,,,
67,0.0504,0.9937,1.0000,0.3443,0.8908,0.9957,0.1574,0.9447,0.9887,0.1505,0.9475,0.9887,1E-10,,,
68,0.0503,0.9927,1.0000,0.3448,0.8908,0.9957,0.1565,0.9447,0.9889,0.1506,0.9474,0.9887,,,,
69,0.0508,0.9948,1.0000,0.3450,0.8932,0.9957,0.1568,0.9452,0.9887,0.1505,0.9475,0.9887,,,,
70,0.0526,0.9937,1.0000,0.3455,0.8932,0.9957,0.1571,0.9452,0.9885,0.1505,0.9475,0.9887,,,,
71,0.0522,0.9948,1.0000,0.3451,0.8932,0.9957,0.1571,0.9449,0.9885,0.1504,0.9474,0.9887,,,,
72,0.0511,0.9937,1.0000,0.3447,0.8908,0.9957,0.1567,0.9451,0.9887,0.1504,0.9475,0.9887,1E-11,,,
73,0.0545,0.9927,1.0000,0.3452,0.8932,0.9957,0.1563,0.9455,0.9888,0.1504,0.9474,0.9887,,,,
74,0.0520,0.9937,1.0000,0.3446,0.8932,0.9957,0.1570,0.9452,0.9887,0.1505,0.9475,0.9887,,,,
75,0.0557,0.9916,1.0000,0.3447,0.8908,0.9957,0.1572,0.9447,0.9885,0.1505,0.9475,0.9887,,,,
